ID,TARGET
2,0.521106
5,0.639698
6,0.048983
7,0.191199
9,0.019868
11,0.895795
12,0.304384
15,0.836857
16,0.281619
17,0.298534
19,0.272637
21,0.042477
22,0.309539
24,0.158283
27,0.237551
28,0.235376
30,0.794203
33,0.037040
35,0.181304
37,0.269311
38,0.235394
40,0.845769
41,0.540926
44,0.178255
46,0.611101
47,0.133257
48,0.053253
50,0.101641
52,0.821460
53,0.132048
55,0.390232
57,0.034149
58,0.228448
59,0.195563
62,0.334081
63,0.167285
64,0.310174
65,0.207550
67,0.228938
69,0.529066
70,0.033395
71,0.744875
72,0.101227
73,0.040936
76,0.110132
78,0.070254
79,0.389954
81,0.055879
85,0.201856
86,0.041241
89,0.545852
94,0.758194
96,0.066475
97,0.309236
98,0.049399
99,0.394452
100,0.856978
103,0.696504
104,0.231340
108,0.133889
110,0.073645
112,0.300497
114,0.462159
116,0.277866
117,0.115662
119,0.215859
120,0.098020
121,0.046963
123,0.373883
124,0.496734
126,0.032606
128,0.172424
129,0.710750
133,0.455781
138,0.377808
147,0.318371
149,0.350630
158,0.048730
160,0.069456
164,0.464288
167,0.599890
168,0.297877
174,0.284186
181,0.288469
185,0.516502
187,0.114532
189,0.205006
190,0.643517
194,0.110108
197,0.709765
198,0.346901
201,0.557381
205,0.124893
208,0.710459
211,0.215223
216,0.331816
219,0.580530
223,0.068002
224,0.791757
226,0.213666
229,0.208784
230,0.291552
237,0.263237
238,0.308427
240,0.729767
243,0.076723
245,0.833457
246,0.862068
247,0.089427
248,0.236840
249,0.038234
250,0.900920
251,0.033526
255,0.756149
256,0.380435
257,0.698863
260,0.787323
261,0.088495
263,0.873215
264,0.829039
267,0.145049
268,0.191325
272,0.109106
274,0.105133
275,0.105598
277,0.908550
278,0.896200
280,0.121786
281,0.395025
282,0.727067
283,0.144654
284,0.679330
286,0.265973
290,0.202981
291,0.436486
293,0.528927
295,0.622765
297,0.038506
298,0.601323
300,0.085602
304,0.089705
305,0.096185
308,0.031238
309,0.088615
310,0.144715
312,0.472056
313,0.812593
315,0.147116
317,0.336919
318,0.413105
321,0.252553
323,0.650813
325,0.121393
326,0.192803
327,0.367367
328,0.605799
329,0.345062
330,0.073335
331,0.117395
334,0.588899
335,0.117634
336,0.579830
337,0.164918
338,0.523718
339,0.210569
341,0.746329
343,0.415715
346,0.047565
348,0.064059
350,0.825504
351,0.038389
352,0.286879
357,0.518321
358,0.154091
360,0.077723
361,0.205897
364,0.314404
365,0.410965
366,0.246979
367,0.082334
368,0.180168
370,0.068747
372,0.071388
376,0.021508
377,0.080783
379,0.322668
380,0.170844
381,0.603531
385,0.211053
386,0.439033
389,0.572515
391,0.643052
392,0.138976
393,0.192616
395,0.312013
396,0.123705
397,0.026986
398,0.300629
399,0.552014
400,0.127637
401,0.179305
403,0.137600
405,0.334601
406,0.355157
409,0.140149
411,0.217849
413,0.099516
418,0.038291
419,0.154842
422,0.286879
424,0.841484
425,0.412388
427,0.066475
430,0.017893
431,0.211825
434,0.209534
435,0.356088
437,0.571024
438,0.050706
439,0.765934
442,0.166648
446,0.213823
450,0.525041
451,0.184742
452,0.128890
454,0.021123
455,0.072977
463,0.231890
464,0.181528
465,0.052372
467,0.787228
468,0.460783
470,0.185406
472,0.752552
473,0.281092
475,0.067116
476,0.066035
479,0.254215
481,0.090567
483,0.451327
484,0.194875
486,0.516734
487,0.030311
