ID,TARGET
2,0.497532
5,0.589833
6,0.022825
7,0.170271
9,0.009647
11,0.894936
12,0.321451
15,0.855115
16,0.293341
17,0.312927
19,0.293200
21,0.024276
22,0.279101
24,0.147157
27,0.190138
28,0.380067
30,0.805284
33,0.025598
35,0.219546
37,0.332230
38,0.177683
40,0.848474
41,0.523751
44,0.127324
46,0.552801
47,0.100067
48,0.042677
50,0.100100
52,0.843215
53,0.126348
55,0.388718
57,0.027662
58,0.093266
59,0.161973
62,0.315456
63,0.176939
64,0.295376
65,0.176623
67,0.244412
69,0.580850
70,0.018695
71,0.660264
72,0.081984
73,0.015375
76,0.078408
78,0.065192
79,0.306876
81,0.051351
85,0.232686
86,0.027861
89,0.603198
94,0.741565
96,0.049591
97,0.276132
98,0.037980
99,0.339875
100,0.844240
103,0.686701
104,0.192619
108,0.116335
110,0.055404
112,0.326619
114,0.542235
116,0.260342
117,0.149035
119,0.146744
120,0.074432
121,0.039954
123,0.224724
124,0.527261
126,0.019624
128,0.164124
129,0.724134
133,0.445594
138,0.347200
147,0.336509
149,0.377855
158,0.040044
160,0.059496
164,0.530627
167,0.556717
168,0.311616
174,0.211325
181,0.326846
185,0.537781
187,0.076856
189,0.155501
190,0.708542
194,0.107944
197,0.697763
198,0.332958
201,0.555363
205,0.169543
208,0.713673
211,0.241976
216,0.261240
219,0.629353
223,0.042577
224,0.788567
226,0.184536
229,0.163245
230,0.288615
237,0.275403
238,0.323697
240,0.664603
243,0.062524
245,0.823752
246,0.870963
247,0.078191
248,0.122734
249,0.025967
250,0.904262
251,0.019614
255,0.755158
256,0.339783
257,0.687390
260,0.782128
261,0.048822
263,0.891185
264,0.838992
267,0.189410
268,0.137095
272,0.061994
274,0.066460
275,0.105821
277,0.912033
278,0.897790
280,0.086123
281,0.451232
282,0.678940
283,0.170536
284,0.538366
286,0.275617
290,0.252176
291,0.407426
293,0.544426
295,0.662886
297,0.032116
298,0.645918
300,0.053515
304,0.061447
305,0.050421
308,0.028594
309,0.111958
310,0.085335
312,0.507700
313,0.814740
315,0.118935
317,0.330389
318,0.453475
321,0.162682
323,0.630457
325,0.088070
326,0.157891
327,0.263118
328,0.355088
329,0.371112
330,0.047224
331,0.087259
334,0.432481
335,0.189926
336,0.509619
337,0.106160
338,0.545333
339,0.185901
341,0.815810
343,0.225276
346,0.029898
348,0.053705
350,0.821022
351,0.023382
352,0.328380
357,0.527706
358,0.166641
360,0.077543
361,0.188837
364,0.283424
365,0.433410
366,0.252950
367,0.062016
368,0.165260
370,0.050922
372,0.054035
376,0.012130
377,0.099627
379,0.310202
380,0.167095
381,0.562909
385,0.229307
386,0.445656
389,0.620488
391,0.639793
392,0.119419
393,0.220269
395,0.309307
396,0.149917
397,0.017553
398,0.316689
399,0.539449
400,0.143698
401,0.134314
403,0.144230
405,0.365683
406,0.355775
409,0.135293
411,0.171984
413,0.050507
418,0.028027
419,0.112758
422,0.328380
424,0.832028
425,0.284083
427,0.049591
430,0.010815
431,0.187565
434,0.167586
435,0.330941
437,0.634880
438,0.039471
439,0.763716
442,0.176805
446,0.245688
450,0.503666
451,0.204566
452,0.118585
454,0.015441
455,0.050800
463,0.218163
464,0.177266
465,0.032228
467,0.804942
468,0.411665
470,0.154037
472,0.848832
473,0.256792
475,0.040735
476,0.044273
479,0.226415
481,0.045199
483,0.383184
484,0.172094
486,0.536687
487,0.018303
491,0.275255
494,0.100836
495,0.042856
497,0.226660
498,0.064108
499,0.246765
503,0.365281
504,0.250972
505,0.111194
506,0.086420
507,0.105643
508,0.713148
509,0.495388
510,0.050538
511,0.183830
512,0.398710
516,0.030095
518,0.457684
519,0.136940
520,0.129428
521,0.068981
522,0.070105
524,0.683752
525,0.151899
526,0.032668
528,0.208379
529,0.342491
531,0.644184
532,0.873017
534,0.833294
536,0.548637
539,0.744921
540,0.297441
541,0.022713
542,0.729572
545,0.096818
546,0.055673
552,0.240246
556,0.031190
557,0.040211
559,0.146252
562,0.296410
563,0.201169
565,0.445958
569,0.047840
570,0.716862
574,0.207607
575,0.192068
585,0.122959
589,0.098909
590,0.204278
592,0.141254
593,0.215273
594,0.115723
595,0.099841
597,0.091627
601,0.018263
603,0.232267
604,0.026275
605,0.448062
607,0.027834
608,0.329421
610,0.364394
612,0.810533
613,0.574283
615,0.033640
616,0.877259
617,0.343606
619,0.162917
620,0.764387
621,0.073058
624,0.485435
625,0.145820
628,0.091399
629,0.846939
630,0.416709
632,0.325746
634,0.028499
637,0.197945
638,0.335015
642,0.276688
643,0.104992
644,0.648509
646,0.015585
655,0.241440
660,0.271295
664,0.300861
665,0.632342
666,0.026658
670,0.748234
671,0.899469
672,0.136667
675,0.069385
676,0.598536
677,0.401610
678,0.070603
680,0.075124
683,0.785381
684,0.136539
685,0.454426
691,0.721124
693,0.011839
696,0.019344
698,0.030710
699,0.207369
700,0.272653
703,0.142956
704,0.347639
705,0.109837
707,0.831384
709,0.586085
711,0.868538
713,0.163572
716,0.016179
719,0.028084
721,0.141392
722,0.035685
723,0.292947
724,0.050794
727,0.033523
728,0.193795
729,0.029692
733,0.177486
736,0.085497
739,0.544622
742,0.895530
743,0.231681
744,0.043671
745,0.888643
747,0.160101
749,0.362331
750,0.469043
751,0.374320
752,0.058180
755,0.081611
756,0.014528
762,0.348532
763,0.614095
764,0.161273
765,0.214323
766,0.081290
769,0.331179
770,0.813800
773,0.081800
774,0.562535
776,0.131145
777,0.201311
778,0.084088
779,0.198867
780,0.014977
781,0.350943
786,0.502996
788,0.046093
794,0.297769
796,0.841967
801,0.644595
802,0.295953
803,0.087217
804,0.045721
805,0.032004
809,0.292412
810,0.702699
817,0.308560
819,0.216678
821,0.100099
824,0.847831
825,0.101384
826,0.793823
830,0.126238
831,0.293945
832,0.249936
833,0.041704
837,0.251232
839,0.015974
840,0.029163
841,0.371538
842,0.087163
843,0.032998
844,0.589609
845,0.247017
848,0.267243
853,0.259342
854,0.009026
855,0.023603
856,0.182792
861,0.085314
865,0.334971
866,0.032414
867,0.083440
870,0.034192
871,0.510123
872,0.184798
873,0.184910
874,0.530279
875,0.033135
876,0.071245
879,0.202873
880,0.028364
883,0.224473
884,0.067412
886,0.194825
890,0.061100
892,0.401891
893,0.629898
894,0.492297
895,0.306047
896,0.345409
897,0.062750
899,0.853521
900,0.067969
901,0.117864
902,0.879142
905,0.214576
912,0.627332
914,0.882048
915,0.562024
917,0.852549
918,0.041331
919,0.073359
921,0.070279
922,0.244339
923,0.052623
926,0.018556
929,0.143274
930,0.065504
931,0.550476
937,0.024593
938,0.182982
939,0.168683
941,0.331811
946,0.114916
947,0.248922
950,0.044382
951,0.047587
952,0.146624
953,0.222343
954,0.006842
955,0.100773
956,0.847952
957,0.501088
960,0.449622
963,0.919201
966,0.223554
969,0.430846
971,0.129472
972,0.029931
975,0.211665
980,0.165484
982,0.701531
983,0.030655
985,0.728591
987,0.088695
988,0.106422
991,0.203802
992,0.031153
995,0.748121
996,0.068433
998,0.065270
1001,0.847008
1002,0.078240
1004,0.161843
1005,0.531773
1010,0.015180
1011,0.013364
1012,0.016999
1013,0.294283
1014,0.264614
1015,0.643960
1016,0.219689
1022,0.045069
1023,0.544585
1024,0.037453
1025,0.321801
1026,0.817093
1028,0.088154
1029,0.123872
1032,0.700936
1034,0.416684
1036,0.189273
1037,0.023279
1039,0.746103
1042,0.151509
1045,0.341913
1046,0.328397
1050,0.180463
1052,0.185734
1055,0.159374
1057,0.092481
1058,0.029848
1060,0.015642
1062,0.115141
1063,0.397938
1064,0.475356
1065,0.340505
1066,0.071744
1067,0.843452
1068,0.287940
1070,0.656103
1072,0.275099
1077,0.877043
1078,0.165346
1079,0.061419
1081,0.546817
1082,0.839723
1093,0.094300
1094,0.431937
1102,0.343517
1103,0.723690
1106,0.063815
1107,0.893936
1112,0.510689
1113,0.032250
1114,0.402090
1116,0.044969
1118,0.511841
1120,0.364394
1121,0.505306
1128,0.193181
1130,0.401480
1132,0.063064
1135,0.116741
1138,0.501548
1139,0.048817
1141,0.256595
1143,0.825383
1146,0.852504
1148,0.328380
1149,0.251403
1151,0.159183
1152,0.380415
1153,0.079967
1155,0.341379
1157,0.025193
1160,0.377899
1161,0.029276
1162,0.336297
1164,0.619124
1168,0.199796
1169,0.096902
1174,0.770353
1176,0.030405
1177,0.891298
1178,0.219221
1180,0.150543
1181,0.418163
1182,0.385064
1185,0.145371
1190,0.123410
1194,0.027864
1196,0.394251
1199,0.138491
1200,0.262648
1201,0.116579
1202,0.431232
1206,0.898775
1207,0.111477
1208,0.008839
1212,0.377125
1216,0.035081
1219,0.091592
1221,0.187974
1222,0.024780
1225,0.213145
1227,0.152103
1230,0.273179
1231,0.187565
1232,0.134522
1233,0.022921
1234,0.523616
1235,0.100513
1236,0.769078
1237,0.096494
1238,0.597277
1239,0.229343
1240,0.478605
1241,0.063518
1244,0.481524
1245,0.261055
1247,0.152740
1250,0.187398
1251,0.029137
1257,0.123544
1259,0.015512
1266,0.654592
1267,0.885779
1268,0.092957
1270,0.926133
1272,0.166652
1273,0.716609
1276,0.474235
1278,0.015411
1279,0.557683
1283,0.301720
1284,0.224911
1286,0.069178
1289,0.244955
1290,0.020400
1292,0.136403
1293,0.391333
1294,0.642923
1296,0.596422
1298,0.162265
1299,0.730972
1301,0.122762
1304,0.439914
1306,0.112791
1308,0.653975
1310,0.274778
1311,0.102384
1312,0.582233
1315,0.024931
1318,0.580226
1319,0.092000
1320,0.047773
1323,0.083712
1324,0.121357
1325,0.264766
1326,0.077648
1329,0.867870
1331,0.727232
1332,0.135298
1335,0.022531
1336,0.843710
